Matemática,Lenguaje,Ciencias,NEM,Colegio_Egreso,Sexo,Nota,asi_Cod
618,638,614,641,Municipalizado,M,2.2,520145
695,547,629,476,Subvencionado,M,2.3,510145
624,527,652,476,Subvencionado,M,3.5,510145
830,602,592,495,Subvencionado,M,5.2,520145
706,614,660,701,Subvencionado,M,5.0,530024
831,480,621,598,Municipalizado,M,4.5,520145
648,580,519,660,Municipalizado,F,4.0,530024
638,637,604,640,Subvencionado,M,5.0,510145
619,596,610,701,Municipalizado,F,1.2,510145
648,644,676,701,Subvencionado,M,5.6,530024
647,551,592,558,Subvencionado,M,4.3,530024
657,570,607,723,Municipalizado,M,1.0,520145
655,651,692,722,Privado,M,4.0,520145
633,602,548,806,Municipalizado,M,1.0,520145
713,614,566,743,Subvencionado,M,5.3,520145
596,568,588,641,Subvencionado,M,4.0,520145
672,681,635,538,Subvencionado,M,1.4,520145
562,632,582,598,Municipalizado,M,1.0,520145
695,701,638,619,Subvencionado,M,1.0,520145
658,651,659,621,Municipalizado,M,3.4,510145
614,580,591,660,Subvencionado,M,2.1,510145
641,543,662,784,Subvencionado,F,4.6,520145
668,541,618,619,Subvencionado,M,1.0,510145
830,575,628,540,Privado,M,4.0,510145
655,576,592,639,Subvencionado,F,1.0,510145
658,617,626,621,Privado,M,5.2,510145
811,567,601,661,Subvencionado,F,4.3,510145
700,651,592,660,Privado,F,5.3,530024
607,547,625,453,Privado,M,2.2,520145
672,581,652,724,Municipalizado,M,4.9,530024
650,543,604,579,Subvencionado,M,3.3,520145
644,709,623,682,Subvencionado,M,5.1,520145
661,545,594,559,Municipalizado,M,3.0,520145
608,626,570,661,Subvencionado,M,3.3,510145
594,548,550,494,Subvencionado,F,1.5,520145
684,732,644,702,Privado,F,5.1,530024
696,692,726,681,Subvencionado,M,4.4,510145
733,634,665,600,Privado,M,4.8,510145
648,586,616,659,Subvencionado,M,4.3,510145
543,572,506,660,Municipalizado,F,2.7,520145
648,648,602,660,Municipalizado,F,2.5,510145
628,591,511,619,Municipalizado,F,2.8,510145
676,513,627,661,Subvencionado,M,4.4,510145
850,658,659,659,Privado,M,4.6,530024
683,659,629,681,Municipalizado,M,4.1,510145
718,638,646,661,Subvencionado,M,4.0,520145
679,645,598,641,Subvencionado,M,4.6,510145
663,743,648,763,Subvencionado,M,4.2,520145
717,572,637,516,Privado,M,4.1,510145
635,579,581,538,Subvencionado,F,3.0,510145
756,566,727,763,Subvencionado,M,4.9,510145
678,721,706,722,Subvencionado,M,2.3,520145
689,659,682,578,Subvencionado,M,4.4,530024
688,651,642,516,Subvencionado,M,4.8,530024
